Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
14:40:00,Saturday,18-30,Male,Above high school,Owner,1-2yr,Public (13?45 seats),Owner,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,na,na,na,na,,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
14:40:00,Saturday,31-50,Male,Above high school,Employee,No Licence,Automobile,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Serious Injury
17:45:00,Thursday,18-30,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
17:45:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Waiting to go,na,na,na,na,Other,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
17:45:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
22:45:00,Monday,18-30,Female,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,Serious Injury
22:45:00,Monday,18-30,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
22:45:00,Monday,18-30,Male,Elementary school,Employee,2-5yr,Public (13?45 seats),Owner,,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
22:45:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Moving Backward,na,na,na,na,Unemployed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
8:20:00,Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,5-10yrs,No defect,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Moving Backward,Serious Injury
8:20:00,Tuesday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
15:10:00,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,5-10yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Moving Backward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overtaking,Serious Injury
12:11:00,Thursday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,,No defect,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,1,Getting off,Passenger,Female,31-50,3,Driver,Normal,Not a Pedestrian,Overloading,Serious Injury
12:11:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,,, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Male,18-30,3,Employee,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
18:36:00,Wednesday,18-30,Male,,Unknown,,,,,,Residential areas,other,,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Collision with animals,2,3,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,Improper parking,Slight Injury
18:36:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3,Going straight,Driver or rider,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,Other,Slight Injury
18:36:00,Wednesday,18-30,Unknown,Junior high school,Employee,5-10yr,,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,3,Going straight,Pedestrian,Male,Under 18,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
14:35:00,Friday,18-30,Male,Above high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
12:25:00,Tuesday,Over 51,Unknown,,Unknown,,,,,,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
12:25:00,Tuesday,18-30,Male,,Employee,1-2yr,Lorry (41?100Q),Owner,,No defect, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,Overspeed,Slight Injury
15:30:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,,No defect,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,na,na,na,na,,,Not a Pedestrian,Changing lane to the left,Slight Injury
18:10:00,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,Below 1yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Moving Backward,Driver or rider,Male,18-30,3,Driver,,Not a Pedestrian,No priority to vehicle,Slight Injury
15:25:00,Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Female,18-30,3,,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
15:25:00,Thursday,31-50,Unknown,Junior high school,Employee,2-5yr,Automobile,Governmental,,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
13:57:00,Saturday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,1-2yr,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
13:57:00,Saturday,18-30,Male,High school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Pedestrian,Male,Under 18,3,Driver,Normal,Unknown or other,No distancing,Slight Injury
20:30:00,Friday,18-30,Male,Above high school,Employee,1-2yr,Taxi,Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
20:30:00,Friday,Over 51,Male,Junior high school,Employee,Below 1yr,,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Driver or rider,Female,18-30,2,Driver,Normal,Not a Pedestrian,Other,Slight Injury
20:30:00,Friday,Over 51,Male,,Unknown,,,Owner,,,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
16:30:00,Sunday,Over 51,Male,High school,Employee,Below 1yr,Automobile,Owner,,7, Outside rural areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,18-30,3,Employee,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
16:30:00,Sunday,31-50,Male,High school,Employee,Below 1yr,Pick up upto 10Q,Owner,Above 10yr,,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
21:50:00,Sunday,31-50,Male,,Unknown,,,Owner,5-10yrs,5, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
21:50:00,Sunday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,No priority to vehicle,Slight Injury
9:12:00,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
9:12:00,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Governmental,,No defect,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
14:40:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,2-5yrs,,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
10:36:00,Friday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,Driving at high speed,Slight Injury
10:36:00,Friday,31-50,Male,Unknown,Employee,Below 1yr,Ridden horse,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
18:19:00,Monday,18-30,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,Changing lane to the right,Slight Injury
18:19:00,Monday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Below 1yr,,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,,,Not a Pedestrian,Changing lane to the left,Slight Injury
19:12:00,Tuesday,18-30,Male,Junior high school,Owner,1-2yr,Automobile,Owner,5-10yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
19:12:00,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Other,Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Other,Slight Injury
11:38:00,Saturday,Over 51,Male,Elementary school,Employee,2-5yr,Taxi,Owner,2-5yrs,No defect,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Driver or rider,Male,31-50,3,Other,Normal,Not a Pedestrian,Other,Slight Injury
11:38:00,Saturday,31-50,Male,Elementary school,Owner,5-10yr,Automobile,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,3,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury
11:38:00,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,2-5yrs,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,na,na,na,na,,,Not a Pedestrian,No priority to vehicle,Slight Injury
11:38:00,Saturday,18-30,Unknown,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,Female,18-30,3,Employee,Normal,Not a Pedestrian,Overtaking,Slight Injury
13:30:00,Thursday,18-30,Male,High school,Employee,5-10yr,Public (12 seats),Organization,2-5yrs,, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
13:30:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,,Owner,,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury
12:39:00,Tuesday,18-30,Unknown,Junior high school,Employee,Above 10yr,Automobile,Governmental,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
12:39:00,Tuesday,Over 51,Male,Junior high school,,1-2yr,Lorry (41?100Q),Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Employee,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
12:30:00,Friday,18-30,Male,Junior high school,Employee,2-5yr,,Owner,,No defect, Industrial areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
12:30:00,Friday,31-50,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,1-2yr,No defect, Industrial areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
16:55:00,Sunday,31-50,Male,,,,,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3,Student,Normal,Not a Pedestrian,Other,Slight Injury
16:55:00,Sunday,31-50,Male,Elementary school,Employee,5-10yr,Public (12 seats),Organization,Above 10yr,, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
18:25:00,Monday,Unknown,Female,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,,Office areas,One way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,Driving at high speed,Slight Injury
18:25:00,Monday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,31-50,3,,,Not a Pedestrian,Unknown,Slight Injury
13:01:00,Thursday,31-50,Unknown,Junior high school,Employee,2-5yr,,Organization,5-10yrs,No defect, Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,31-50,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
13:01:00,Thursday,18-30,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,O Shape,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
13:45:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Other,Slight Injury
13:45:00,Wednesday,31-50,Male,Elementary school,Other,5-10yr,Public (12 seats),Owner,1-2yr,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
18:45:00,Monday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,2-5yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,Passenger,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
18:45:00,Monday,31-50,Male,Junior high school,Unknown,5-10yr,Automobile,Owner,,No defect,Other,Double carriageway (median),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
11:02:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
11:02:00,Thursday,31-50,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
11:02:00,Thursday,31-50,Male,Junior high school,,Below 1yr,Bajaj,Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,,,Not a Pedestrian,No priority to vehicle,Slight Injury
11:02:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,2-5yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
15:55:00,Tuesday,Over 51,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),Owner,5-10yrs,,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Pedestrian,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
15:00:00,Wednesday,Over 51,Unknown,,Unknown,,,,,,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
20:00:00,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,18-30,3,Self-employed,,Not a Pedestrian,Changing lane to the right,Slight Injury
20:00:00,Sunday,Under 18,Male,High school,Owner,2-5yr,Automobile,Owner,,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
